x,y,z,t,u_x,u_y,u_z,profile_status
-0.2,-0.2,-0.03,0.5,0.5612046542481353,-0.17876095314606433,-0.05529604087282258,toy
-0.2,-0.1,-0.03,0.5,0.38468002108087185,-0.2841975505880411,-0.056977005837640794,toy
-0.2,0.0,-0.03,0.5,0.19502529005764319,-0.38505460358294946,-0.05754860735479683,toy
-0.2,0.10000000000000003,-0.03,0.5,0.003449972178090205,-0.47826254721752215,-0.056977005837640794,toy
-0.2,0.2,-0.03,0.5,-0.17876095314606433,-0.5612046542481353,-0.05529604087282258,toy
-0.1,-0.2,-0.03,0.5,0.47826254721752215,0.0034499721780902326,-0.056977005837640794,toy
-0.1,-0.1,-0.03,0.5,0.2948921150328502,-0.0979270882763995,-0.05870907108320867,toy
-0.1,0.0,-0.03,0.5,0.09897228279600231,-0.19838001102660394,-0.05929804892801872,toy
-0.1,0.10000000000000003,-0.03,0.5,-0.09792708827639952,-0.29489211503285023,-0.05870907108320867,toy
-0.1,0.2,-0.03,0.5,-0.2841975505880411,-0.38468002108087185,-0.056977005837640794,toy
0.0,-0.2,-0.03,0.5,0.38505460358294946,0.19502529005764319,-0.05754860735479683,toy
0.0,-0.1,-0.03,0.5,0.19838001102660394,0.09897228279600231,-0.05929804892801872,toy
0.0,0.0,-0.03,0.5,0.0,0.0,-0.05989293548327635,toy
0.0,0.10000000000000003,-0.03,0.5,-0.19838001102660396,-0.09897228279600234,-0.05929804892801872,toy
0.0,0.2,-0.03,0.5,-0.38505460358294946,-0.19502529005764319,-0.05754860735479683,toy
0.10000000000000003,-0.2,-0.03,0.5,0.2841975505880411,0.38468002108087185,-0.056977005837640794,toy
0.10000000000000003,-0.1,-0.03,0.5,0.09792708827639944,0.2948921150328503,-0.05870907108320867,toy
0.10000000000000003,0.0,-0.03,0.5,-0.09897228279600234,0.19838001102660396,-0.05929804892801872,toy
0.10000000000000003,0.10000000000000003,-0.03,0.5,-0.2948921150328503,0.09792708827639951,-0.05870907108320867,toy
0.10000000000000003,0.2,-0.03,0.5,-0.47826254721752215,-0.003449972178090205,-0.056977005837640794,toy
0.2,-0.2,-0.03,0.5,0.17876095314606433,0.5612046542481353,-0.05529604087282258,toy
0.2,-0.1,-0.03,0.5,-0.0034499721780902326,0.47826254721752215,-0.056977005837640794,toy
0.2,0.0,-0.03,0.5,-0.19502529005764319,0.38505460358294946,-0.05754860735479683,toy
0.2,0.10000000000000003,-0.03,0.5,-0.38468002108087185,0.2841975505880411,-0.056977005837640794,toy
0.2,0.2,-0.03,0.5,-0.5612046542481353,0.17876095314606433,-0.05529604087282258,toy
-0.2,-0.2,0.0,0.5,0.562737603707931,-0.1783193356411099,0.0,toy
-0.2,-0.1,0.0,0.5,0.3859886727646279,-0.28427159053639584,0.0,toy
-0.2,0.0,0.0,0.5,0.19605280423838395,-0.38565002338225846,0.0,toy
-0.2,0.10000000000000003,0.0,0.5,0.004175931229660007,-0.4793538925335398,0.0,toy
-0.2,0.2,0.0,0.5,-0.1783193356411099,-0.562737603707931,0.0,toy
-0.1,-0.2,0.0,0.5,0.47935389253353977,0.004175931229660063,0.0,toy
-0.1,-0.1,0.0,0.5,0.29572696878418836,-0.09771370185174141,0.0,toy
-0.1,0.0,0.0,0.5,0.09950166250831945,-0.19869740755676404,0.0,toy
-0.1,0.10000000000000003,0.0,0.5,-0.09771370185174147,-0.2957269687841884,0.0,toy
-0.1,0.2,0.0,0.5,-0.28427159053639584,-0.3859886727646279,0.0,toy
0.0,-0.2,0.0,0.5,0.38565002338225846,0.19605280423838395,0.0,toy
0.0,-0.1,0.0,0.5,0.19869740755676404,0.09950166250831945,0.0,toy
0.0,0.0,0.0,0.5,0.0,0.0,0.0,toy
0.0,0.10000000000000003,0.0,0.5,-0.1986974075567641,-0.09950166250831947,0.0,toy
0.0,0.2,0.0,0.5,-0.38565002338225846,-0.19605280423838395,0.0,toy
0.10000000000000003,-0.2,0.0,0.5,0.2842715905363958,0.3859886727646279,0.0,toy
0.10000000000000003,-0.1,0.0,0.5,0.09771370185174139,0.29572696878418847,0.0,toy
0.10000000000000003,0.0,0.0,0.5,-0.09950166250831947,0.1986974075567641,0.0,toy
0.10000000000000003,0.10000000000000003,0.0,0.5,-0.2957269687841884,0.09771370185174143,0.0,toy
0.10000000000000003,0.2,0.0,0.5,-0.4793538925335398,-0.004175931229660007,0.0,toy
0.2,-0.2,0.0,0.5,0.1783193356411099,0.562737603707931,0.0,toy
0.2,-0.1,0.0,0.5,-0.004175931229660063,0.47935389253353977,0.0,toy
0.2,0.0,0.0,0.5,-0.19605280423838395,0.38565002338225846,0.0,toy
0.2,0.10000000000000003,0.0,0.5,-0.3859886727646279,0.2842715905363958,0.0,toy
0.2,0.2,0.0,0.5,-0.562737603707931,0.1783193356411099,0.0,toy
-0.2,-0.2,0.03,0.5,0.5612046542481353,-0.17876095314606433,0.05529604087282258,toy
-0.2,-0.1,0.03,0.5,0.38468002108087185,-0.2841975505880411,0.056977005837640794,toy
-0.2,0.0,0.03,0.5,0.19502529005764319,-0.38505460358294946,0.05754860735479683,toy
-0.2,0.10000000000000003,0.03,0.5,0.003449972178090205,-0.47826254721752215,0.056977005837640794,toy
-0.2,0.2,0.03,0.5,-0.17876095314606433,-0.5612046542481353,0.05529604087282258,toy
-0.1,-0.2,0.03,0.5,0.47826254721752215,0.0034499721780902326,0.056977005837640794,toy
-0.1,-0.1,0.03,0.5,0.2948921150328502,-0.0979270882763995,0.05870907108320867,toy
-0.1,0.0,0.03,0.5,0.09897228279600231,-0.19838001102660394,0.05929804892801872,toy
-0.1,0.10000000000000003,0.03,0.5,-0.09792708827639952,-0.29489211503285023,0.05870907108320867,toy
-0.1,0.2,0.03,0.5,-0.2841975505880411,-0.38468002108087185,0.056977005837640794,toy
0.0,-0.2,0.03,0.5,0.38505460358294946,0.19502529005764319,0.05754860735479683,toy
0.0,-0.1,0.03,0.5,0.19838001102660394,0.09897228279600231,0.05929804892801872,toy
0.0,0.0,0.03,0.5,0.0,0.0,0.05989293548327635,toy
0.0,0.10000000000000003,0.03,0.5,-0.19838001102660396,-0.09897228279600234,0.05929804892801872,toy
0.0,0.2,0.03,0.5,-0.38505460358294946,-0.19502529005764319,0.05754860735479683,toy
0.10000000000000003,-0.2,0.03,0.5,0.2841975505880411,0.38468002108087185,0.056977005837640794,toy
0.10000000000000003,-0.1,0.03,0.5,0.09792708827639944,0.2948921150328503,0.05870907108320867,toy
0.10000000000000003,0.0,0.03,0.5,-0.09897228279600234,0.19838001102660396,0.05929804892801872,toy
0.10000000000000003,0.10000000000000003,0.03,0.5,-0.2948921150328503,0.09792708827639951,0.05870907108320867,toy
0.10000000000000003,0.2,0.03,0.5,-0.47826254721752215,-0.003449972178090205,0.056977005837640794,toy
0.2,-0.2,0.03,0.5,0.17876095314606433,0.5612046542481353,0.05529604087282258,toy
0.2,-0.1,0.03,0.5,-0.0034499721780902326,0.47826254721752215,0.056977005837640794,toy
0.2,0.0,0.03,0.5,-0.19502529005764319,0.38505460358294946,0.05754860735479683,toy
0.2,0.10000000000000003,0.03,0.5,-0.38468002108087185,0.2841975505880411,0.056977005837640794,toy
0.2,0.2,0.03,0.5,-0.5612046542481353,0.17876095314606433,0.05529604087282258,toy
-0.2,-0.2,-0.03,0.9,2.156869358784751,-0.5434371241406089,-0.20003907306281812,toy
-0.2,-0.1,-0.03,0.9,1.6478077336761612,-1.1343511276230436,-0.2321084759168592,toy
-0.2,0.0,-0.03,0.9,0.8850224950983735,-1.6462076618746424,-0.24390257686124653,toy
-0.2,0.10000000000000003,-0.03,0.9,0.08120373810726167,-1.9988568635147552,-0.2321084759168592,toy
-0.2,0.2,-0.03,0.9,-0.5434371241406089,-2.156869358784751,-0.20003907306281812,toy
-0.1,-0.2,-0.03,0.9,1.998856863514755,0.08120373810726189,-0.2321084759168592,toy
-0.1,-0.1,-0.03,0.9,1.372915872502491,-0.44483933006521675,-0.269319107350238,toy
-0.1,0.0,-0.03,0.9,0.4753319090907309,-0.9550602929468418,-0.28300398777433233,toy
-0.1,0.10000000000000003,-0.03,0.9,-0.44483933006521686,-1.372915872502491,-0.269319107350238,toy
-0.1,0.2,-0.03,0.9,-1.1343511276230436,-1.6478077336761612,-0.2321084759168592,toy
0.0,-0.2,-0.03,0.9,1.6462076618746424,0.8850224950983735,-0.24390257686124653,toy
0.0,-0.1,-0.03,0.9,0.9550602929468418,0.4753319090907309,-0.28300398777433233,toy
0.0,0.0,-0.03,0.9,0.0,0.0,-0.29738423643302514,toy
0.0,0.10000000000000003,-0.03,0.9,-0.955060292946842,-0.475331909090731,-0.28300398777433233,toy
0.0,0.2,-0.03,0.9,-1.6462076618746424,-0.8850224950983735,-0.24390257686124653,toy
0.10000000000000003,-0.2,-0.03,0.9,1.1343511276230434,1.6478077336761614,-0.2321084759168592,toy
0.10000000000000003,-0.1,-0.03,0.9,0.44483933006521637,1.372915872502491,-0.269319107350238,toy
0.10000000000000003,0.0,-0.03,0.9,-0.475331909090731,0.955060292946842,-0.28300398777433233,toy
0.10000000000000003,0.10000000000000003,-0.03,0.9,-1.372915872502491,0.4448393300652168,-0.269319107350238,toy
0.10000000000000003,0.2,-0.03,0.9,-1.9988568635147552,-0.08120373810726167,-0.2321084759168592,toy
0.2,-0.2,-0.03,0.9,0.5434371241406089,2.156869358784751,-0.20003907306281812,toy
0.2,-0.1,-0.03,0.9,-0.08120373810726189,1.998856863514755,-0.2321084759168592,toy
0.2,0.0,-0.03,0.9,-0.8850224950983735,1.6462076618746424,-0.24390257686124653,toy
0.2,0.10000000000000003,-0.03,0.9,-1.6478077336761614,1.1343511276230434,-0.2321084759168592,toy
0.2,0.2,-0.03,0.9,-2.156869358784751,0.5434371241406089,-0.20003907306281812,toy
-0.2,-0.2,0.0,0.9,2.1803638576073063,-0.5319640877855024,0.0,toy
-0.2,-0.1,0.0,0.9,1.6726157388309342,-1.1332393083759165,0.0,toy
-0.2,0.0,0.0,0.9,0.9063462346100909,-1.6564224167688417,0.0,toy
-0.2,0.10000000000000003,0.0,0.9,0.09697799659782713,-2.0180361760902974,0.0,toy
-0.2,0.2,0.0,0.9,-0.5319640877855024,-2.1803638576073063,0.0,toy
-0.1,-0.2,0.0,0.9,2.0180361760902974,0.09697799659782735,0.0,toy
-0.1,-0.1,0.0,0.9,1.3911278513509542,-0.4395020317105497,0.0,toy
-0.1,0.0,0.0,0.9,0.4877057549928601,-0.96224414211239,0.0,toy
-0.1,0.10000000000000003,0.0,0.9,-0.43950203171054997,-1.3911278513509544,0.0,toy
-0.1,0.2,0.0,0.9,-1.1332393083759165,-1.6726157388309342,0.0,toy
0.0,-0.2,0.0,0.9,1.6564224167688417,0.9063462346100909,0.0,toy
0.0,-0.1,0.0,0.9,0.96224414211239,0.4877057549928601,0.0,toy
0.0,0.0,0.0,0.9,0.0,0.0,0.0,toy
0.0,0.10000000000000003,0.0,0.9,-0.9622441421123902,-0.48770575499286023,0.0,toy
0.0,0.2,0.0,0.9,-1.6564224167688417,-0.9063462346100909,0.0,toy
0.10000000000000003,-0.2,0.0,0.9,1.1332393083759165,1.6726157388309346,0.0,toy
0.10000000000000003,-0.1,0.0,0.9,0.4395020317105496,1.3911278513509544,0.0,toy
0.10000000000000003,0.0,0.0,0.9,-0.48770575499286023,0.9622441421123902,0.0,toy
0.10000000000000003,0.10000000000000003,0.0,0.9,-1.3911278513509546,0.4395020317105497,0.0,toy
0.10000000000000003,0.2,0.0,0.9,-2.0180361760902974,-0.09697799659782713,0.0,toy
0.2,-0.2,0.0,0.9,0.5319640877855024,2.1803638576073063,0.0,toy
0.2,-0.1,0.0,0.9,-0.09697799659782735,2.0180361760902974,0.0,toy
0.2,0.0,0.0,0.9,-0.9063462346100909,1.6564224167688417,0.0,toy
0.2,0.10000000000000003,0.0,0.9,-1.6726157388309346,1.1332393083759165,0.0,toy
0.2,0.2,0.0,0.9,-2.1803638576073063,0.5319640877855024,0.0,toy
-0.2,-0.2,0.03,0.9,2.156869358784751,-0.5434371241406089,0.20003907306281812,toy
-0.2,-0.1,0.03,0.9,1.6478077336761612,-1.1343511276230436,0.2321084759168592,toy
-0.2,0.0,0.03,0.9,0.8850224950983735,-1.6462076618746424,0.24390257686124653,toy
-0.2,0.10000000000000003,0.03,0.9,0.08120373810726167,-1.9988568635147552,0.2321084759168592,toy
-0.2,0.2,0.03,0.9,-0.5434371241406089,-2.156869358784751,0.20003907306281812,toy
-0.1,-0.2,0.03,0.9,1.998856863514755,0.08120373810726189,0.2321084759168592,toy
